#         t          x          y          z         vx         vy         vz
      0.550      2.320    207.900     14.410     35.760   -113.130    -18.350
      0.557      4.720    199.280     13.120     32.340   -129.950    -15.760
      0.564      6.730    189.100     11.690     24.210   -151.520    -20.350
      0.571      7.980    177.410      9.810     10.920   -174.890    -32.400
      0.579      8.140    163.170      6.920    -11.860   -222.740    -49.690
      0.586      4.220    144.620      1.560   -171.750   -232.820    -87.660
      0.593     -4.430    135.210     -0.780    -81.190    -73.050    -13.940
      0.600     -6.940    132.120     -0.140     24.730    -35.430     24.110
      0.607     -5.020    131.690      2.050     78.950     -0.040     48.380
      0.614      0.170    133.570      5.150    125.470     42.330     72.750
      0.621     13.890    139.180     11.810    184.920    133.850    119.400
      0.629     21.770    144.430     19.310     37.420    -44.520     31.890
      0.636     22.970    139.940     18.600     41.600    -50.430     22.520
      0.643     25.460    137.900     19.840     41.880    -26.800     18.420
      0.650     28.520    136.610     21.990     42.410    -20.290     21.640
      0.657     31.590    135.050     24.010     41.790    -31.170     21.670
      0.664     34.790    133.240     26.800     39.800    -23.340     34.010
      0.671     37.550    131.610     29.570     38.150    -25.970     33.810
      0.679     40.280    129.510     32.340     43.460    -27.690     40.540
      0.686     43.090    127.200     34.510     41.400    -30.900     28.540
      0.693     45.850    124.730     36.440     42.840    -31.450     24.280
      0.700     48.600    122.360     38.510     38.410    -28.490     22.220
      0.707     51.000    120.010     40.310     38.670    -22.490     29.470
      0.714     53.190    118.040     41.940     32.960    -20.710     20.040
      0.721     57.670    115.680     43.760     36.460    -24.670     22.220
      0.729     60.280    114.020     45.350     32.320    -27.300     21.500
      0.736     62.790    112.070     47.030     30.530    -26.070     22.820
      0.743     65.250    110.380     48.920     30.310    -24.040     26.970
      0.750     67.530    108.650     50.730     29.540    -25.230     24.580
      0.757     69.580    106.590     52.530     28.090    -27.910     23.540
      0.764     71.500    104.590     54.100     30.750    -25.530     30.240
      0.771     73.660    102.950     55.840     28.070    -21.780     25.610
      0.779     75.390    101.250     57.130     28.620    -20.980     18.810
      0.786     77.240    100.240     58.190     30.190    -16.840     18.870
      0.793     79.470     99.190     59.300     32.890    -20.190     18.240
      0.800     81.750     97.900     60.600     36.390    -16.900     21.720
      0.807     84.300     96.970     62.220     37.310    -17.410     23.040
      0.814     86.810     96.000     63.650     37.950    -19.830     22.980
      0.821     89.550     94.640     65.770     37.710    -17.160     29.690
      0.829     92.540     93.440     68.230     40.830    -17.010     35.230
      0.836     95.110     92.290     70.420     40.440    -23.280     38.950
      0.843     98.030     90.600     73.020     37.800    -23.010     37.160
      0.850    100.450     89.100     75.070     34.590    -25.190     32.590
      0.857    103.050     87.310     77.270     32.650    -24.990     26.240
      0.864    105.450     85.650     79.170     32.710    -25.730     26.810
      0.871    108.070     83.720     81.020     31.620    -25.690     20.140
      0.879    110.130     81.870     82.600     27.080    -27.660     14.560
      0.886    112.280     79.910     84.120     33.220    -25.990     18.940
      0.893    114.640     77.940     85.770     32.940    -26.060     21.990
      0.900    116.980     76.180     87.340     31.140    -24.310     20.370
      0.907    118.200     73.400     88.690     29.240    -24.090     20.110
      0.914    121.170     72.420     90.180     30.680    -27.810     19.350
      0.921    122.520     69.920     91.540     31.450    -25.340     21.910
      0.929    125.180     68.650     92.960     31.810    -25.930     21.460
      0.936    127.300     66.840     94.270     28.930    -25.900     18.090
      0.943    129.330     64.880     95.610     27.570    -29.420     20.680
      0.950    131.360     63.300     97.390     25.390    -22.340     24.180
      0.957    132.830     61.230     98.790     26.840    -17.040     26.740
      0.964    135.280     60.770    100.800     29.300    -13.690     24.790
      0.971    137.200     59.550    102.530     29.050    -14.820     22.090
      0.979    139.260     58.560    104.380     32.200    -17.970     24.960
      0.986    142.150     57.430    106.500     36.100    -16.410     25.950
      0.993    144.170     55.950    108.050     36.730    -17.120     29.720
      1.000    146.790     54.430    110.110     38.280    -19.830     31.630
      1.007    149.660     53.370    112.770     36.000    -21.950     31.720
      1.014    151.840     51.280    114.530     31.220    -19.680     34.910
      1.021    154.050     49.980    116.910     33.040    -17.700     32.290
      1.029    156.390     49.020    119.600     33.260    -18.430     32.070
      1.036    158.520     47.490    121.610     34.110    -16.900     29.990
      1.043    160.520     45.910    123.230     33.930    -19.400     24.340
      1.050    163.580     44.250    125.180     29.720    -26.740     20.310
      1.057    165.860     42.250    126.840     32.260    -31.850     18.110
      1.064    167.030     40.420    127.200     30.920    -31.070     17.100
      1.071    170.200     38.050    129.480     29.190    -30.460     17.700
      1.079    172.120     36.080    130.850     25.140    -23.950     18.410
      1.086    173.100     35.340    131.180     26.310    -20.120     18.390
      1.093    175.150     33.850    133.030     30.840    -17.150     24.190
      1.100    177.520     32.540    135.030     32.180    -16.960     27.220
      1.107    179.820     31.270    137.230     30.610    -20.370     26.900
      1.114    181.970     29.610    139.010     29.750    -21.900     28.880
      1.121    184.150     27.840    140.940     29.910    -22.400     28.910
      1.129    186.600     26.330    143.440     29.330    -18.350     28.490
      1.136    188.700     24.940    145.340     29.550    -22.650     27.780
