#         t          x          y          z         vx         vy         vz
      0.414    -65.320    105.740    -46.970   -250.820     -1.980    -66.690
      0.421    -82.230    108.140    -51.000   -219.330     69.450    -47.060
      0.429    -96.030    115.230    -53.700   -166.160    123.710    -29.060
      0.436   -105.590    125.360    -55.000   -104.650    154.610    -10.290
      0.443   -111.040    137.010    -55.050    -46.870    169.030      6.860
      0.450   -112.600    149.110    -54.130      1.300    169.700     16.360
      0.457   -111.120    161.090    -52.680     39.510    165.450     25.650
      0.464   -107.060    172.670    -50.710     71.770    160.410     30.740
      0.471   -100.870    183.850    -48.230    100.630    153.760     39.510
      0.479    -92.710    194.450    -45.020    125.210    145.920     49.600
      0.486    -82.770    204.720    -41.130    148.560    137.680     59.530
      0.493    -71.600    214.310    -36.330    167.310    129.800     71.980
      0.500    -59.120    223.310    -30.800    183.190    123.040     85.690
      0.507    -45.360    232.100    -23.940    206.210    120.580    106.480
      0.514    -29.790    240.450    -15.100    230.550    113.370    144.480
      0.521    -12.430    247.780     -2.560    255.410     86.430    213.280
      0.529      5.480    250.930     15.440    232.280     -6.200    277.150
      0.536     20.120    247.490     34.800    179.680    -81.360    260.140
      0.543     31.450    240.380     52.010    142.110   -112.770    221.160
      0.550     40.720    231.680     66.450    117.770   -131.770    184.220
      0.557     48.170    221.840     78.350     94.280   -142.620    156.860
      0.564     54.260    211.400     88.310     77.540   -149.660    128.600
      0.571     59.280    200.350     96.690     62.870   -158.000    104.560
      0.579     63.290    188.910    103.440     50.520   -162.110     81.850
      0.586     66.430    177.140    108.440     33.820   -167.460     58.110
      0.593     68.700    165.200    111.960     20.190   -167.590     36.580
      0.600     69.910    153.200    113.750      6.920   -168.650     11.760
      0.607     69.680    141.260    113.500     -3.990   -166.220    -11.150
      0.614     68.900    129.600    111.830    -18.610   -160.970    -36.440
      0.621     67.140    118.320    108.210    -31.990   -155.320    -65.920
      0.629     64.380    107.730    102.340    -47.000   -142.260    -98.360
      0.636     60.370     98.090     94.110    -63.950   -125.640   -129.630
      0.643     55.290     89.920     83.650    -76.690   -102.650   -162.530
      0.650     49.380     83.650     70.880    -89.350    -71.800   -197.690
      0.657     42.400     80.130     55.730   -102.210    -25.930   -228.470
      0.664     34.930     80.310     38.350   -107.510     34.590   -254.370
      0.671     27.160     85.640     20.000    -99.800    115.470   -253.700
      0.679     20.800     96.530      2.820    -75.980    186.310   -217.880
      0.686     16.600    111.410    -10.350    -39.600    224.780   -151.780
      0.693     15.000    127.730    -19.150     -8.120    231.370    -89.830
      0.700     15.510    143.850    -23.440     19.790    216.550    -37.550
